,종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
0,095570,AJ네트웍스,KOSPI,서비스업,4540,-155,-3.3,212573219300
1,006840,AK홀딩스,KOSPI,기타금융,25350,150,0.6,335825671350
2,027410,BGF,KOSPI,기타금융,4905,-25,-0.51,469490859855
3,282330,BGF리테일,KOSPI,유통업,141000,4500,3.3,2437030746000
4,138930,BNK금융지주,KOSPI,기타금융,5780,0,0.0,1883905721880
5,001460,BYC,KOSPI,섬유의복,324500,10500,3.34,202687567500
6,001465,BYC우,KOSPI,섬유의복,157500,10000,6.78,33923137500
7,001040,CJ,KOSPI,기타금융,102500,7600,8.01,2990642295000
8,079160,CJ CGV,KOSPI,서비스업,26150,300,1.16,917865000000
9,00104K,CJ4우(전환),KOSPI,기타금융,81400,5300,6.96,344038076800
10,000120,CJ대한통운,KOSPI,운수창고업,173000,-1500,-0.86,3946535512000
11,011150,CJ씨푸드,KOSPI,음식료품,5010,-80,-1.57,180013172730
12,011155,CJ씨푸드1우,KOSPI,음식료품,39800,-300,-0.75,7960000000
13,001045,CJ우,KOSPI,기타금융,61700,3100,5.29,139455759100
14,097950,CJ제일제당,KOSPI,음식료품,432500,27500,6.79,6510935445000
15,097955,CJ제일제당 우,KOSPI,음식료품,184500,6500,3.65,244911388500
16,000590,CS홀딩스,KOSPI,기타금융,60400,500,0.83,69730712800
17,012030,DB,KOSPI,서비스업,845,-15,-1.74,169991973385
18,016610,DB금융투자,KOSPI,증권,5420,60,1.12,230059428380
19,005830,DB손해보험,KOSPI,보험,43800,150,0.34,3101040000000
20,000990,DB하이텍,KOSPI,전기전자,54900,900,1.67,2437482481200
21,000995,DB하이텍1우,KOSPI,전기전자,121000,0,0.0,13590236000
22,139130,DGB금융지주,KOSPI,기타금융,7230,30,0.42,1222924372590
23,001530,DI동일,KOSPI,유통업,178000,-500,-0.28,438878402000
24,004840,DRB동일,KOSPI,기타금융,7260,250,3.57,144691800000
25,155660,DSR,KOSPI,철강금속,6250,-140,-2.19,100000000000
26,069730,DSR제강,KOSPI,철강금속,5150,-40,-0.77,74160000000
27,017940,E1,KOSPI,유통업,42800,-500,-1.15,293608000000
28,365550,ESR켄달스퀘어리츠,KOSPI,서비스업,5180,-10,-0.19,742081620000
29,007700,F&F,KOSPI,섬유의복,86600,300,0.35,1333640000000
30,114090,GKL,KOSPI,서비스업,16250,50,0.31,1005154637500
31,078930,GS,KOSPI,기타금융,41600,2100,5.32,3865279724800
32,006360,GS건설,KOSPI,건설업,41750,950,2.33,3355460567750
33,001250,GS글로벌,KOSPI,유통업,2375,130,5.79,196017689500
34,007070,GS리테일,KOSPI,유통업,36250,700,1.97,2791250000000
35,078935,GS우,KOSPI,기타금융,31050,550,1.8,55418847300
36,012630,HDC,KOSPI,기타금융,11250,-150,-1.32,672094361250
37,039570,HDC아이콘트롤스,KOSPI,건설업,10700,-150,-1.38,176122000000
38,089470,HDC현대EP,KOSPI,화학,7140,500,7.53,227766000000
39,294870,HDC현대산업개발,KOSPI,건설업,28100,-150,-0.53,1851995973000
40,011200,HMM,KOSPI,운수창고업,15750,-400,-2.48,5145939587250
41,082740,HSD엔진,KOSPI,기계,8260,-320,-3.73,272143392920
42,003560,IHQ,KOSPI,서비스업,1530,-30,-1.92,223740694440
43,175330,JB금융지주,KOSPI,기타금융,5710,30,0.53,1124772324740
44,234080,JW생명과학,KOSPI,의약품,21100,250,1.2,334109089400
45,001060,JW중외제약,KOSPI,의약품,35250,-350,-0.98,737431903500
46,001067,JW중외제약2우B,KOSPI,의약품,55600,-1000,-1.77,5024794400
47,001065,JW중외제약우,KOSPI,의약품,39950,-1050,-2.56,6885821950
48,096760,JW홀딩스,KOSPI,기타금융,5840,-70,-1.18,388080585200
49,105560,KB금융,KOSPI,기타금융,46500,500,1.09,19335068280000
50,002380,KCC,KOSPI,화학,210500,5000,2.43,1870602145500
51,009070,KCTC,KOSPI,운수창고업,3665,-135,-3.55,109950000000
52,009440,KC그린홀딩스,KOSPI,기타금융,5630,0,0.0,126308937400
53,119650,KC코트렐,KOSPI,기계,11200,-500,-4.27,145600000000
54,092220,KEC,KOSPI,전기전자,3165,95,3.09,369377465100
55,016380,KG동부제철,KOSPI,철강금속,12650,-350,-2.69,1265112547050
56,016385,KG동부제철우,KOSPI,철강금속,119500,-1000,-0.83,6379507500
57,001390,KG케미칼,KOSPI,화학,24450,-250,-1.01,318173522400
58,001940,KISCO홀딩스,KOSPI,철강금속,14250,-300,-2.06,263288415000
59,025000,KPX케미칼,KOSPI,화학,54800,-800,-1.44,265232000000
60,092230,KPX홀딩스,KOSPI,화학,59200,-800,-1.33,250099043200
61,000040,KR모터스,KOSPI,운수장비,1115,-5,-0.45,102202035070
62,044450,KSS해운,KOSPI,운수창고업,11050,150,1.38,256203974000
63,030200,KT,KOSPI,통신업,24400,-250,-1.01,6371128115200
64,033780,KT&G,KOSPI,기타제조업,83400,600,0.72,11450194249800
65,030210,KTB투자증권,KOSPI,증권,4000,-55,-1.36,241256368000
66,058850,KTcs,KOSPI,서비스업,2245,10,0.45,95827825000
67,058860,KTis,KOSPI,서비스업,2640,0,0.0,91877280000
68,093050,LF,KOSPI,섬유의복,15250,200,1.33,445910000000
69,003550,LG,KOSPI,기타금융,105500,-2000,-1.86,18204777320500
70,034220,LG디스플레이,KOSPI,전기전자,20000,100,0.5,7156314000000
71,001120,LG상사,KOSPI,유통업,27250,50,0.18,1056210000000
72,051900,LG생활건강,KOSPI,화학,1638000,29000,1.8,25582606686000
73,051905,LG생활건강우,KOSPI,화학,709000,1000,0.14,1488685173000
74,003555,LG우,KOSPI,기타금융,75000,-1700,-2.22,248600775000
75,032640,LG유플러스,KOSPI,통신업,12450,0,0.0,5435811444450
76,011070,LG이노텍,KOSPI,전기전자,193500,5500,2.93,4579585204500
77,066570,LG전자,KOSPI,전기전자,147500,-2500,-1.67,24138052565000
78,066575,LG전자우,KOSPI,전기전자,65000,-2500,-3.7,1117089480000
79,108670,LG하우시스,KOSPI,화학,80800,100,0.12,724587736000
80,108675,LG하우시스우,KOSPI,화학,34550,-450,-1.29,35667001500
81,037560,LG헬로비전,KOSPI,서비스업,3885,0,0.0,300881070525
82,051910,LG화학,KOSPI,화학,999000,37000,3.85,70521750657000
